"","coords.x1","coords.x2"
"147",459340.694608814,498969.463089425
"148",508285.73459756,548773.808822787
"149",443921.608134631,448335.903983775
"150",481594.206035506,434349.916258403
"151",453101.450042145,404095.07304161
"152",563998.312395253,526419.318625296
"153",459544.009070662,418799.892125366
"154",458645.880064904,418834.920472118
"155",465343.010379784,477286.950836222
"156",482590.866544577,440633.000152779
"157",480783.435102695,440938.907126394
"158",456626.644081282,467558.591492677
"159",459517.290292121,512417.566253934
"160",461370.040727251,435356.078850382
"161",465755.735536142,435535.690906988
"162",462135.147607435,480626.722276457
"163",453125.436703861,433583.205681319
"164",463227.432548277,486709.169090536
"165",471567.199317376,442785.781990413
"166",466029.208005009,429888.007276587
"167",466030.315984707,431730.923724462
"168",434487.934549336,429164.673798712
