"","coords.x1","coords.x2"
"413",552398.238323687,541291.920120229
"414",465343.010379784,477286.950836222
"415",569296.157132793,418860.851190929
"416",569296.157132793,418860.851190929
"417",475606.055529393,509353.650202615
"418",504738.02858147,558888.390213777
"419",491873.537220206,616024.379234076
"420",491873.537220206,616024.379234076
"421",569164.508658869,522074.375045691
"422",404439.92842081,468849.672619492
"423",547605.656016266,546531.947207776
"424",614364.774971089,473084.80455109
"425",613452.028506757,472384.898439193
"426",570803.063087359,521280.730547112
"427",497383.828076076,604965.121143359
"428",497383.828076076,604965.121143359
"429",567335.906630155,512856.305015439
"430",424036.735271177,511614.286779311
"431",556281.523106787,520215.308836748
"432",440945.516433811,426898.182504206
"433",524946.54473361,603128.562363325
"434",524946.54473361,603128.562363325
"435",485350.850208961,418754.870617067
"436",463993.166138501,549351.947303521
"437",615266.974372345,485291.906448158
"438",396340.974065671,614299.933602709
"439",567328.625461825,518385.678793058
"440",552001.99816809,473597.69497682
"441",593035.867975707,553447.620314756
"442",593035.867975707,553447.620314756
"443",547030.356334857,569969.505429332
"444",520054.043686944,522716.771134576
"445",569399.47884193,529662.284391619
"446",561794.830105012,527594.214140207
"447",569151.865278149,531290.029161438
"448",569151.865278149,531290.029161438
"449",458800.580495824,608670.071983766
"450",458800.580495824,608670.071983766
"451",447200.127195764,508635.150407089
"452",488201.555608521,623397.67044982
"453",488201.555608521,623397.67044982
"454",488201.555608521,623397.67044982
"455",438239.530161609,504639.873570338
"456",459517.290292121,512417.566253934
"457",422491.307151348,631555.765500045
"458",500231.443726174,465600.981965062
"459",403690.184535187,614283.632093289
"460",403690.184535187,614283.632093289
"461",497383.828076076,604965.121143359
"462",497383.828076076,604965.121143359
"463",569289.568320316,424390.05230996
"464",543791.926618076,624097.808855829
"465",402869.131638422,556325.164299596
"466",453128.942008656,426714.030038412
"467",424410.167814863,408549.465474738
"468",403585.191234104,620167.72145212
"469",617921.833577841,511159.652605369
"470",568409.807387083,592102.310898257
"471",556384.705515035,420689.919108537
"472",526855.151995611,470429.639563803
"473",487815.351901222,533472.978200464
"474",439487.872060525,523650.946330411
"475",596987.964723976,537809.787184602
"476",569169.525194777,518388.144821483
"477",570855.986542144,519127.645428896
"478",536010.856853862,551529.166060347
"479",557938.588338996,519109.537663356
"480",522855.924181082,542236.588092265
"481",523120.774079151,579167.490187744
"482",431164.337723036,624205.422106836
"483",517178.197421632,571856.343108548
"484",523120.774079151,579167.490187744
"485",523123.449570938,573638.249853966
"486",461079.783924704,435046.654729096
"487",461370.040727251,435356.078850382
"488",549534.005698799,422224.753907466
"489",536067.451309228,470434.948835403
"490",401599.273580679,538264.062709994
"491",561972.358377856,414792.025056202
"492",431246.494295631,644764.618334954
"493",414795.853760264,656656.870700781
"494",414795.853760264,656656.870700781
