"","models.1","models.2","models.3","models.4","models.5","models.6","models.7","models.7.1"
"1",7850.30159285114,7853.01023982173,7853.01023982173,7853.32300942248,7849.06484784907,7850.94683236589,7850.20835363264,7860.29473206447
"2",3052.75928014565,3055.26508045793,3055.26508045793,3052.26464829117,3071.81770227949,3054.98275785296,3054.39452845679,3040.2571289035
"3",14123.4343121672,14125.1471300156,14125.1471300156,14141.6295004705,14113.09873623,14119.6876034926,14117.1219940296,14116.8810480342
"4",1938.52192474052,1938.10178153808,1938.10178153808,1930.76577990353,1942.46252052757,1934.04453685033,1933.26842021834,1935.50550085066
"5",12294.8849367611,12284.8737358591,12284.8737358591,12286.5528974291,12285.022475248,12281.4898408649,12273.1537749154,12241.8104306577
"6",12678.4329095721,12675.5786606533,12675.5786606533,12674.2996181734,12644.6288954076,12675.2777134127,12668.9712255292,12669.8169047254
"7",5487.81875848568,5490.88222282405,5490.88222282405,5492.90540485466,5501.41059779396,5487.01424616761,5486.31790268087,5483.25001462944
