"","models.1","models.2","models.3","models.4","models.5","models.6","models.7","models.8"
"1",7854.02601038284,7858.2354725507,7858.2354725507,7853.95661334132,7853.61972179497,7852.76611356083,7854.64583882539,7863.31607521128
"2",3057.34463522447,3061.82929370407,3061.82929370407,3055.58955208808,3077.46717842316,3059.25948975858,3060.88411624842,3045.9699434772
"3",14118.843182344,14123.2245806071,14123.2245806071,14133.8580920119,14107.1529822269,14116.6852286903,14111.7697692822,14112.9729915877
"4",1943.16461480893,1947.80916639551,1947.80916639551,1943.92092170654,1947.54471427638,1944.19716535114,1945.98515511428,1933.70650579339
"5",12295.6899651938,12298.7576496195,12298.7576496195,12299.9213416373,12275.8798048086,12293.3137384144,12293.6676010496,12254.545302536
"6",12639.9460979767,12639.8237371864,12639.8237371864,12637.3569891441,12607.4518776876,12634.5607668896,12608.0962452167,12637.834106949
