"IterationNo","AUC_at_Value_0.55","AUC_at_0.5","AUC_ratio"
0,0.754804846582856,0.485644860179,1.554232132313
1,0.807463730201793,0.492882268874051,1.63824868775738
2,0.739551951183801,0.484478913283807,1.52648945270106
3,0.759480735774143,0.488374071592893,1.55512092052103
4,0.753461183345279,0.485679815614247,1.5513537090117
5,0.733183173605549,0.484821553749773,1.51227429542862
6,0.752438531179036,0.48582652897214,1.54878024625573
7,0.745952976656992,0.482863854781126,1.54485155447206
8,0.713899475205769,0.480894022465245,1.4845255749823
9,0.770766354444084,0.486832370447274,1.58322741303325
10,0.712942466178811,0.481091492101551,1.48192698869911
11,0.76925004957764,0.487928832857851,1.57656198563233
12,0.708267792368952,0.481973347869577,1.46951651061131
13,0.729170833907506,0.482708345515155,1.51058261304623
14,0.825768597597816,0.495372387855118,1.66696533323801
15,0.759317555773741,0.48995456838757,1.54977135588844
16,0.756714646606015,0.484248361660615,1.56265814511182
17,0.755185963907478,0.484753331605587,1.55787678943056
18,0.779861146996931,0.487694238111633,1.59907804122636
19,0.763872047397549,0.486919025952288,1.56878660862268
20,0.766710477271835,0.48669094509691,1.57535389757286
21,0.743093434418719,0.484900081521788,1.53246712618944
22,0.762636848943143,0.485465065830834,1.57094073831647
23,0.750955942783127,0.485465065830834,1.54687946803737
24,0.763808845567527,0.488020377377788,1.56511670613345
25,0.775087112827889,0.487419109505139,1.59018614107028
26,0.748900063733216,0.484478913283807,1.54578464242573
27,0.770920546917563,0.485315456642475,1.58849370314923
28,0.721901012733724,0.482708345515155,1.49552212933733
29,0.764350582390972,0.484821553749773,1.57656064685909
30,0.73421812513816,0.483782159264111,1.51766267333006
31,0.773167331112559,0.486832370447274,1.58815924750899
32,0.75618375926213,0.486153871987752,1.55544119430809
33,0.750343014609835,0.487351393204926,1.53963449180974
34,0.736472215762775,0.483356764076124,1.52366175566085
35,0.699890594900769,0.482489452453769,1.45058216576834
36,0.763361758491303,0.484753331605587,1.57474267574999
37,0.763666623334539,0.487908761045835,1.56518325618424
38,0.765158487331349,0.48669094509691,1.57216503623052
39,0.777765657342095,0.48816839405022,1.59323230840316
40,0.753220886910863,0.483782159264111,1.55694225693771
41,0.752923288796638,0.484016110320716,1.55557485121258
42,0.761868962632982,0.486057991622875,1.56744457608693
43,0.797592402397747,0.488020377377788,1.63434241554285
44,0.718837010691324,0.479441960041585,1.49932019014142
45,0.759859606190317,0.484976035164025,1.56679825619285
46,0.784097295512108,0.486919025952288,1.61032379866163
47,0.733683694567971,0.485085407886203,1.51248353927003
48,0.739828925916675,0.483860331807058,1.52901338936726
49,0.763191069546197,0.485465065830834,1.57208236650367
50,0.735356396432088,0.483681374204126,1.52033225931447
51,0.774858215125443,0.491816213117513,1.57550360166817
52,0.739359818503877,0.484478913283807,1.52609287676213
53,0.755124243885774,0.482863854781126,1.56384503915303
54,0.747057020218984,0.485465065830834,1.53884815365748
55,0.768854248306907,0.487419109505139,1.57739865613291
56,0.746219764891767,0.483973700190179,1.54186015603438
57,0.717828685401936,0.4825869082305,1.48745992309239
58,0.759634606992854,0.487308206382799,1.55883811732104
59,0.754367204603082,0.483860331807058,1.55905982576784
60,0.750043580337824,0.485606175649182,1.5445511567787
61,0.767542235815771,0.48516036985315,1.582038195016
62,0.760030561161718,0.485085407886203,1.56679741094173
63,0.778062786548272,0.487540540831083,1.59589351322857
64,0.755103495900882,0.484934917380075,1.55712337643251
65,0.754903474321543,0.480988935908086,1.56948199420911
66,0.766544264620601,0.486797084931212,1.57466897060182
67,0.745630357154819,0.484016110320716,1.5405073121652
68,0.773239317453913,0.484900081521788,1.59463639401176
69,0.767460375774775,0.486153871987752,1.57863676501606
70,0.734646482208767,0.481346669086805,1.52623156944768
71,0.746358927817826,0.485294825472976,1.53794948687205
72,0.784249098189345,0.489763318299721,1.60128182100687
73,0.764678556356527,0.486262136467937,1.57256446473691
74,0.78673776051311,0.488930385889752,1.60909974756715
75,0.747258066175366,0.48669094509691,1.53538518376702
76,0.760877496217635,0.487327649560998,1.56132634153441
77,0.724778046203711,0.482863854781126,1.50099875778078
78,0.747165135857335,0.483860331807058,1.54417522318253
79,0.765876007445459,0.484976035164025,1.57920382021852
80,0.800261033454197,0.492535179442019,1.62477944085292
81,0.742765438637959,0.486832370447274,1.52571086831295
82,0.775404199932822,0.484675176125084,1.59984302503809
83,0.762396831856273,0.487540540831083,1.56376089372313
84,0.731462089681535,0.481973347869577,1.51764012038166
85,0.74280297848928,0.480330924053806,1.54644005058078
86,0.763519516144313,0.48525647202017,1.57343499812729
87,0.748938259295015,0.484976035164025,1.54427890244456
88,0.705565061709256,0.481899006745249,1.46413470837935
89,0.768076565071953,0.485465065830834,1.58214590324322
90,0.753958964026619,0.484132448455253,1.55734028246261
91,0.730854870208167,0.480834581547143,1.51997152088469
92,0.756698709115285,0.484202047369971,1.56277469958136
93,0.747138307718035,0.484821553749773,1.54105835835766
94,0.754440852273869,0.488020377377788,1.54592080012642
95,0.73639780292656,0.485561901018586,1.51658892796528
96,0.791114865793185,0.491282431081281,1.61030563224496
97,0.733217682307142,0.48234275887366,1.52011752808171
