"IterationNo","AUC_at_Value_0.8","AUC_at_0.5","AUC_ratio"
0,0.769004713735726,0.478988143171454,1.60547755659259
1,0.772181741346412,0.47857131945058,1.61351445429891
2,0.762881630400743,0.475538924937925,1.60424644628266
3,0.779850357226428,0.477980888533364,1.63155133591077
4,0.74166772412364,0.472305930608835,1.57031211352265
5,0.809537602199821,0.484072729858408,1.6723470509
6,0.754797963628913,0.472305930608835,1.59811239858015
7,0.788977355674586,0.479728109307039,1.64463440929958
8,0.77175111382234,0.477080197171307,1.61765488988684
9,0.702537547483699,0.467854464700343,1.5016155674258
10,0.77812740474447,0.482380281269009,1.61309952947793
11,0.813425085673418,0.485737617958968,1.67461826220371
12,0.777204797789003,0.481403114146798,1.61445735382593
13,0.715193524151135,0.468550244442652,1.52639665144529
14,0.796084770407658,0.481403114146798,1.65367598798894
15,0.769867132956685,0.481403114146798,1.59921510753236
16,0.790450135179867,0.48364215086987,1.63436982024453
17,0.737080737713029,0.471041840595251,1.56478825061822
18,0.735102604371003,0.472305930608835,1.5564119709939
19,0.802099259702507,0.485330010111867,1.65268836253836
20,0.810652452892717,0.485055081110822,1.67125855281476
21,0.794833284632104,0.482380281269009,1.64773170773299
22,0.780547778234392,0.484707830618666,1.61034695321123
23,0.724332841664348,0.472305930608835,1.53360945675747
24,0.735079088080151,0.470858953503581,1.56114497263045
25,0.795312225327977,0.481403114146798,1.65207121008664
26,0.728513968327514,0.470858953503581,1.54720211415067
27,0.765318570069815,0.477980888533364,1.60114889199465
28,0.787444667836272,0.479537539884479,1.64209181209456
29,0.797491750865465,0.485737617958968,1.6418159133247
30,0.74422349620358,0.47045792882075,1.58191296311883
31,0.768419716896455,0.47857131945058,1.60565350589466
32,0.73894903135001,0.471183688095485,1.56828228569802
33,0.786573012844319,0.481403114146798,1.63391758326778
34,0.80051169275772,0.485055081110822,1.65035214335756
35,0.79695143885939,0.484707830618666,1.64418932089912
36,0.752678004933764,0.477080197171307,1.57767605823198
37,0.761995112802525,0.475538924937925,1.60238220856892
38,0.740078201368524,0.470039156713643,1.57450329573158
39,0.761222975183328,0.479298074357425,1.58820370017941
40,0.780007893091682,0.481403114146798,1.62028011487651
41,0.747463325645912,0.475538924937925,1.57182364355028
42,0.77358631584707,0.481403114146798,1.60694082176455
43,0.768371636559217,0.480012291775743,1.60073325146889
44,0.789325932298694,0.48364215086987,1.63204536841759
45,0.78635445104013,0.482763764536718,1.62885972147216
46,0.794124206373691,0.482540578712581,1.64571487125998
47,0.754028445398549,0.475538924937925,1.58562928470467
48,0.822792873865368,0.487689515414093,1.68712438520796
49,0.733513081615887,0.470039156713643,1.56053611946793
50,0.771171705012579,0.477080197171307,1.61644040055528
51,0.832753303631404,0.489415898835836,1.70152482911213
52,0.732877404453427,0.470614208513126,1.55727853344867
53,0.782855301045036,0.483245732016963,1.61999423725393
54,0.769190748551478,0.477080197171307,1.61228815011008
55,0.768948018519661,0.477080197171307,1.61177936765955
56,0.785170779624544,0.482165411902708,1.62842617956797
57,0.74976827140128,0.473716062849845,1.58273769922582
58,0.7402661764723,0.472305930608835,1.56734465628676
59,0.732416508436178,0.475538924937925,1.5401820335355
60,0.795941227899634,0.481403114146798,1.65337781270962
61,0.809167613527222,0.483911935720365,1.67213815944149
62,0.740723975789862,0.471296915345903,1.57167159739676
63,0.784036815801085,0.482763764536718,1.62405895677254
64,0.763717040812406,0.473947502750435,1.61139585371875
65,0.709801054507735,0.472305930608835,1.50284171446408
66,0.795030146255031,0.487689515414093,1.63019733073404
67,0.777047261923749,0.477980888533364,1.62568688532305
68,0.747783706004454,0.473947502750435,1.57777749996546
69,0.806789979731751,0.484707830618666,1.66448719984983
70,0.824218985563093,0.487689515414093,1.69004860574716
71,0.749634391527616,0.472305930608835,1.58717971328729
72,0.787974560495658,0.481403114146798,1.63682896379307
73,0.777204797789003,0.481403114146798,1.61445735382593
74,0.74166772412364,0.472305930608835,1.57031211352265
75,0.741280345619625,0.474749482588444,1.56141369881647
76,0.792831489477624,0.487689515414093,1.62568901815418
77,0.819786746823846,0.487689515414093,1.68096036702321
78,0.781552983251046,0.481403114146798,1.62348967068111
79,0.764847103363412,0.481403114146798,1.58878719494569
80,0.792481073460469,0.484707830618666,1.63496651673436
81,0.721948848574878,0.470858953503581,1.5332592556709
82,0.768419716896455,0.47857131945058,1.60565350589466
83,0.699356910937287,0.468872336463308,1.49157213285927
84,0.798695195109543,0.48333107845845,1.65248052671664
85,0.791004824720201,0.48364215086987,1.63551672098371
86,0.767018169245115,0.47857131945058,1.60272489819424
87,0.780561876367175,0.482763764536718,1.61686094464078
88,0.77995940529396,0.479298074357425,1.62729509468532
89,0.764026070486007,0.479298074357425,1.59405203434273
90,0.788890648083364,0.481403114146798,1.63873191697468
91,0.771412223116048,0.481403114146798,1.60242466333696
92,0.799744037203859,0.48364215086987,1.65358630500971
93,0.743069271774979,0.472305930608835,1.57327957075854
94,0.720570817214391,0.472305930608835,1.52564422870051
95,0.782006265578087,0.482763764536718,1.61985286184131
96,0.791064740814385,0.481403114146798,1.64324807540227
97,0.781552983251046,0.481403114146798,1.62348967068111
98,0.784398920113297,0.481403114146798,1.62940142484019
99,0.759699410579304,0.474269799184261,1.60182961657263
100,0.754914962996767,0.475538924937925,1.5874935224184
101,0.789853971983017,0.486239051975934,1.624414922605
102,0.754658961394865,0.477080197171307,1.58182830867718
103,0.778626834881877,0.478988143171454,1.62556598943446
104,0.780151435599706,0.481403114146798,1.62057829015582
105,0.804209939940324,0.483095851342287,1.66470057175159
106,0.781243517012639,0.483095851342287,1.6171604762118
107,0.848597753844972,0.489827125188728,1.73244336666331
108,0.749634391527616,0.472305930608835,1.58717971328729
109,0.777354859664788,0.482380281269009,1.61149800240545
110,0.778606345440342,0.481403114146798,1.61736873435122
111,0.740723975789862,0.471296915345903,1.57167159739676
112,0.740723975789862,0.471296915345903,1.57167159739676
113,0.823443064382249,0.486025250430148,1.69423926772009
114,0.796547849248934,0.483095851342287,1.64884017744246
115,0.782997372461958,0.481403114146798,1.6264900443149
116,0.780151435599706,0.481403114146798,1.62057829015582
117,0.787345557924001,0.481403114146798,1.63552236117008
118,0.800882210158805,0.487689515414093,1.64219689955562
119,0.681266684051647,0.465703387049052,1.46287680742139
120,0.823380664719394,0.487689515414093,1.68832964149387
121,0.777204797789003,0.481403114146798,1.61445735382593
122,0.735102604371003,0.472305930608835,1.5564119709939
123,0.756316510648107,0.475538924937925,1.59044080512827
124,0.733834936593328,0.473716062849845,1.54910292080582
125,0.715470576114201,0.469375131534083,1.524304395454
126,0.726947961863251,0.470039156713643,1.54656894320428
127,0.756107890879754,0.481403114146798,1.57063356812683
128,0.772061715129241,0.478988143171454,1.61185976341147
129,0.724332841664348,0.472305930608835,1.53360945675747
130,0.77148638092433,0.477725390387417,1.61491600917147
131,0.792310871394993,0.485153563039019,1.63311357837286
132,0.712612089469009,0.46816154565623,1.52214998451043
133,0.780148408750388,0.47857131945058,1.63016122580441
134,0.795722666095446,0.482763764536718,1.64826510303452
135,0.823446440483411,0.487689515414093,1.68846451370649
136,0.793431736980764,0.482380281269009,1.64482622484788
137,0.751035939178956,0.472305930608835,1.59014717052318
138,0.799758434140998,0.485737617958968,1.64648239002266
139,0.803516558612027,0.484707830618666,1.6577338096363
140,0.755494767625285,0.474269799184261,1.59296410803456
141,0.747289095542499,0.471296915345903,1.58560149920361
142,0.811131587617392,0.487689515414093,1.66321309353692
143,0.770012887393056,0.477080197171307,1.61401142189217
144,0.807641863188739,0.484707830618666,1.66624471933513
145,0.78963373959084,0.482911757477065,1.63515119970617
146,0.722035695866837,0.469375131534083,1.53829133108729
147,0.76064467233774,0.477080197171307,1.59437485950525
148,0.743069271774979,0.472305930608835,1.57327957075854
149,0.746948295592791,0.475538924937925,1.57074059855414
150,0.790870091119806,0.480012291775743,1.64760383154791
151,0.766777854871889,0.475928944554468,1.61111834790736
152,0.787126996119812,0.482763764536718,1.63045997637203
153,0.725734389315688,0.472305930608835,1.53657691399336
154,0.778296879201936,0.483095851342287,1.61106098725425
155,0.799882302128457,0.484072729858408,1.65240108105744
156,0.748232843876276,0.472305930608835,1.5842122560514
157,0.719747164948154,0.470614208513126,1.52937831439928
158,0.766720117721155,0.477980888533364,1.60408111728851
159,0.777673959433234,0.47857131945058,1.62499073351499
160,0.773285237473792,0.477980888533364,1.61781622659964
161,0.784542462621321,0.481403114146798,1.62969960011951
