"coords.x1","coords.x2"
399778.047938615,503691.260351678
403967.682140676,474586.267757923
476887.136758209,533920.465647967
401581.61152765,481569.028811056
580338.669289795,435455.600890289
421853.498278983,488911.535397488
552704.707646774,411471.416950444
537946.635920128,404084.496862734
528719.140205609,420666.118650574
447560.933419419,396720.375706893
519508.933444277,400393.463695772
495526.904800087,437246.050205288
470692.886964002,434798.758533897
504738.780284851,464890.688897599
394415.966313485,579273.557495769
420165.305113859,422340.303405861
414795.839072431,656649.460656633
480857.120981062,628922.191313211
486364.818421115,623390.793693813
401581.61152765,481569.028811056
609630.771850452,533205.652563307
473459.878985323,545986.84413104
613452.028506757,472384.898439192
475289.448029781,518340.148189108
473504.216455324,623396.635693431
478972.776427333,531243.426702136
482649.032551414,529395.265464597
473422.217160987,474108.506190029
466106.24111421,558896.640855009
455043.373446554,529412.620709759
476113.866125259,461733.310711088
403410.904512026,472353.30120574
427359.024801314,468629.36512209
484493.65749908,531241.373530512
482677.969645815,588380.596690536
513944.449021063,522029.250934643
561958.728545267,434994.154557795
574875.222749875,432415.551696263
558624.778871144,448951.040656996
539340.503279912,437683.285813387
549286.849253241,415789.241163996
565609.76721494,415856.87827539
582082.659117772,429887.996621617
609794.120572318,459241.900693296
616164.839824712,482140.596942102
616329.241988635,491410.757649512
604393.574412979,515481.260551057
617600.298455553,524580.83932063
620010.70392728,532513.466265452
616092.89897875,545922.640718184
589910.775275948,586763.543273995
545591.119812443,687166.76795691
546450.026757104,675902.556458151
525344.608607975,649233.989447119
525147.443099326,602836.2714353
531717.277177685,600512.671356769
527350.20117546,605090.956016929
524957.601916625,599704.744189788
526162.646551686,604144.567006426
530289.835226911,610411.895172263
532609.139265557,611518.059388319
519747.670509095,615118.856534592
516675.600067161,610768.204791024
517898.716264493,611494.101620808
519055.501999055,612774.587725028
517402.110504742,612656.598849739
514627.949689955,614771.83704055
513890.226953922,615281.882483506
514144.253672607,613478.920329141
515058.629953528,617223.699835286
509760.659510197,625596.976692289
501454.851801136,615039.721699151
504217.181677564,623228.571238527
525114.786953837,587435.935340521
516211.288249535,583055.892806619
504840.634539257,586213.048632165
483724.587065004,559289.836598082
467633.658998366,560348.614392647
469414.841101607,554847.112529667
496562.900570468,544883.630288156
492263.382368837,544093.255078743
501165.157716808,547066.654269244
499744.526986302,560982.578347133
505857.075799162,559868.14314055
492959.340975898,555578.765538327
507946.678187574,547990.060514735
518977.633328003,552013.837198752
495860.250623462,532532.812565101
494562.891266618,535319.386065566
492085.682679572,530876.890093998
495277.197799467,538068.228993668
493167.309814748,539758.811557358
487787.981727662,529645.560933217
485484.412445971,530506.619519016
485583.394804081,532838.833603201
483256.288223212,528465.246251347
480840.004178622,528594.5690868
480439.2758412,531354.58525393
481490.075872276,526721.701900358
482770.82082097,525053.580868982
480305.068345877,523843.181575986
479596.441944592,528916.485102276
480217.733569499,530068.383654426
479862.789783882,528177.578930192
470867.468121095,527785.481374139
464250.074592583,528324.943257332
452756.003622867,527640.200208965
453987.561363473,526302.768216989
459302.240767316,532809.351563825
458198.27837871,535404.138367836
452660.733573417,533868.126105507
449350.370427876,534455.178691496
461238.487537192,527210.030634376
448723.94656136,525593.687558775
443218.514503467,521710.767534762
442018.536164553,512973.16499221
451532.155548589,511442.528406507
454569.950004222,505973.596707484
442121.326521182,503841.467374251
440942.699921361,501572.243672564
454500.439473542,480303.517720059
449166.611199768,477787.025086988
456168.496425123,467642.37902034
467232.830368331,467660.109234366
463026.301848439,469519.970270552
458342.020122889,447982.608808139
445328.611205692,448851.81964384
452062.502149938,426152.887478993
455827.06965103,416830.593570124
451696.581140126,413438.769784948
452062.527984711,405259.797569963
449403.067503009,400797.673408993
449403.637371602,399566.287345916
457873.714403896,406959.003778232
438280.349570047,395980.480674191
442416.340987547,392816.300668829
453275.24631234,395685.157623414
461570.46368558,386684.626886753
490733.43373907,406605.365529463
495478.958751507,394780.139510119
475652.531558277,384398.925650142
480650.965128927,387167.355235048
491153.371156071,387475.228271832
472961.901757719,398796.281594413
485935.400111612,392831.743495245
513787.869296359,441586.046679832
508224.266002467,426517.53574306
580672.536046491,477435.682480055
599088.092482153,452635.144583365
552168.903956385,473054.316560519
563608.672593856,487723.477818814
541888.093389659,492554.973609134
538118.038594022,473092.366385281
536415.291164226,470083.462863856
549184.260412168,517829.644379309
584769.287328378,521422.080410264
596543.331524918,532431.643038558
599286.615722855,533374.039811947
562931.443525352,558352.48054344
584376.839113897,577464.568243686
599328.082728626,580576.438387371
552068.406306641,604285.378202382
563058.453861787,593297.565334908
572960.690148756,625826.988786139
555198.321652036,643620.048086709
457362.494800267,648613.17846288
453363.873867574,649101.850640705
458854.333540313,645427.846184894
455076.913337435,640617.511779503
470427.261111427,649700.22139822
469886.580102426,640747.752484841
458906.98628208,651519.198901485
467646.346889526,648120.944645339
456503.957432894,644842.0237585
467043.699624495,644635.185665454
453056.059761541,635850.646239702
439678.890596604,642815.888587377
441004.651214548,601497.331252177
441299.77887064,568748.924046445
439977.327734326,571938.460337241
392673.419930667,561698.044084586
400200.554738477,559607.932761382
395858.654606546,545532.982966059
395490.450882072,556900.072748248
400776.366466695,515860.57898334
401164.080297946,522852.824959544
402926.826813655,520494.853451853
415923.987293949,509417.636863403
419655.471698954,517071.964974933
427042.992742221,447273.386826676
429248.50303982,444445.296308502
434020.560253269,461050.733601594
412520.569845975,454462.392604293
418043.37333591,426498.408013269
430042.582850256,399619.876395056
430478.179692956,410705.631351613
437245.354685993,418569.514544727
449965.677019461,417400.906294817
476394.410093597,426969.933016143
582187.873984534,497449.628974688
419658.806361608,551815.924715946
420274.35781924,552861.920031893
420096.705898948,558681.811098293
402941.522789611,609916.900205588
396283.819345053,614189.443887907
387952.617311095,635962.670567339
395623.154225572,639362.116353996
407756.023553117,709321.056783063
416705.50852287,708309.993391375
390584.403445566,795293.896001386
405903.834390931,488715.855691212
405794.611028028,486631.835454359
472828.014923539,459318.943054414
473270.642302094,456127.562069247
429510.355151424,794050.497491859
433114.820345337,580493.808201068
428307.670661283,583356.642720496
417988.80229659,797352.237382535
417232.286475673,796167.654888854
418356.727331015,795616.466386
409009.452049181,801085.125748212
434824.481785626,795322.899225313
439324.121379056,808957.014296201
618226.44936535,524560.316360665
482538.152087083,540162.622436328
428788.659742023,517081.877841843
465445.261071509,420141.350139197
557403.901683912,412548.436926285
515549.116889096,455467.295206225
439331.036591579,601121.842898072
438434.383797037,424659.431241348
508285.73459756,548773.808822787
405518.678488121,591527.70336899
400374.512352167,478249.161569225
514124.251826858,408169.865062589
460693.441181403,570489.716292392
525649.729594832,713839.30154064
616768.342717566,481827.577682324
582570.061781402,555893.421844972
402425.41836284,482091.238991023
445764.790306807,448334.067262053
449598.141527278,458715.665366307
554349.426961713,487853.281476346
436177.982982912,408530.61562765
575843.737745583,507338.721333835
440130.4426283,446447.348283043
438385.684896595,442812.603148191
508459.055168896,584055.906060051
530061.877156801,453029.390051891
491027.085123272,442795.212134799
571585.793290432,523705.824284393
541388.607448844,417435.267099899
413449.495195889,467757.764937716
455004.019789271,475971.25460517
447616.45503922,487859.341869407
456303.136778776,472958.354419464
577717.503819769,526295.384585111
460548.965237194,499926.393588027
