"IterationNo","AUC_at_Value_0.125","AUC_at_0.5","AUC_ratio"
0,0.577400763583247,0.496309710544421,1.16338800413531
1,0.608513609575495,0.496928734168087,1.22454905046739
2,0.603540000930032,0.499397256324881,1.20853687777852
3,0.576516113822183,0.497136107061757,1.1596745954133
4,0.562423751090736,0.491537022722549,1.14421442351495
5,0.590772531381726,0.492759685943214,1.19890597432073
6,0.581767466812919,0.493887007504139,1.17793636595723
7,0.58239844363325,0.49479710936368,1.17704495966484
8,0.581328095295408,0.496928734168087,1.16984198200697
9,0.624729923286075,0.495633895762621,1.26046650285049
10,0.591078168125084,0.499033380724486,1.18444615321518
11,0.581027395070559,0.498814564236035,1.1648164202271
12,0.584537644394235,0.496928734168087,1.17630075341249
13,0.603610129411153,0.496928734168087,1.21468147826401
14,0.571340727653941,0.493887007504139,1.15682477767782
15,0.576862063329677,0.499033380724486,1.15595887091201
16,0.55409872934441,0.495633895762621,1.11795971599527
17,0.629905189781142,0.499201329938988,1.26182594477088
18,0.612005801071725,0.498736668382172,1.22711210117552
19,0.579416487270877,0.497669011219288,1.16426073194975
20,0.605169171711176,0.498736668382172,1.21340420722273
21,0.619936115039431,0.499611022959439,1.24083754471078
22,0.574597419436018,0.495978902048288,1.15851181786776
23,0.540968637250772,0.492759685943214,1.09783460920769
24,0.562176925165286,0.49462095422862,1.13658129595828
25,0.59497951366189,0.499033380724486,1.19226395797033
26,0.572057228054675,0.49857344113788,1.14738808940381
27,0.584273294896589,0.499353264181952,1.17006002925355
28,0.571889942050829,0.496309710544421,1.15228441011864
29,0.615412960502381,0.498814564236035,1.23375098609024
30,0.565199399445811,0.497893120963592,1.13518218197504
31,0.563889854347487,0.495224666995725,1.13865461865686
32,0.563505810303655,0.494501888239455,1.13954228225472
33,0.549141467484912,0.490575230067089,1.1193827854085
34,0.589716629305841,0.496928734168087,1.18672274062214
35,0.577493040150008,0.495633895762621,1.16516050473391
36,0.567473830895648,0.493887007504139,1.14899526060299
37,0.57286523569461,0.490485228189615,1.16795614377432
38,0.58304739707423,0.49771473913906,1.171448926915
39,0.569986446158012,0.494970331880316,1.1515567892579
40,0.605448608577079,0.499353264181952,1.21246550689707
41,0.595312183720892,0.494351222866485,1.20422921231789
42,0.576768205367376,0.49479710936368,1.16566607696862
43,0.576390294573813,0.495224666995725,1.16389657661941
