"IterationNo","AUC_at_Value_0.45","AUC_at_0.5","AUC_ratio"
0,0.830121644352106,0.494810950663558,1.67765414900152
1,0.823128858225202,0.496213315754779,1.65882057593146
2,0.841461238732106,0.494404149767101,1.70197042061336
3,0.826821186059572,0.493428206544749,1.67566664226478
4,0.829296608371013,0.495368075049089,1.67410184495405
5,0.836647270874117,0.494186945349762,1.69297728065637
6,0.827807674511604,0.494377225377527,1.67444540730908
7,0.785677560648846,0.488245931961556,1.60918403865106
8,0.827266480528655,0.493484751210815,1.67637698733117
9,0.846311417603613,0.495368075049089,1.70844965638883
10,0.841169764074401,0.495368075049089,1.69807019556326
11,0.86307353173297,0.495400823587611,1.74217217783922
12,0.840121124450681,0.495848051475511,1.69431163831481
13,0.854229632613227,0.495848051475511,1.72276492782672
14,0.833649807052648,0.495894629084661,1.68110271448478
15,0.831525374056557,0.494862905360937,1.68031461855091
16,0.817753357991326,0.491171411915924,1.66490422315398
17,0.817432706633404,0.494314150510084,1.65367045590318
18,0.831742324934986,0.495400823587611,1.67892802218544
19,0.8498994644373,0.495713524866014,1.7144972283478
20,0.836393920101173,0.495659113683935,1.68743779143848
21,0.812599187787653,0.493664052369324,1.64605703795447
22,0.812578976317932,0.493664052369324,1.64601609620548
23,0.795273241024664,0.491356037940955,1.61852746199535
24,0.841198612338236,0.495269132353006,1.6984676762344
25,0.839022197968458,0.494058332955525,1.698224970621
26,0.816239384647368,0.494135669260137,1.65185279150059
27,0.842262547713505,0.496302004469621,1.69707665922808
28,0.854806294717877,0.49758505379457,1.71790990947004
29,0.828768351533281,0.49472377860083,1.67521430620778
30,0.817896659717771,0.494356239511544,1.6544681635371
31,0.84890090749499,0.496032785499126,1.7113806431984
32,0.809129930515854,0.493730645321554,1.63880840329222
33,0.837325524487639,0.494862905360937,1.69203534032708
34,0.82904230838083,0.495169144036149,1.67426084271581
35,0.824524036730978,0.494356239511544,1.66787423892062
36,0.802828898359406,0.492815707862242,1.62906515671336
37,0.822244231069071,0.493928313327373,1.66470357920967
38,0.81346857693929,0.494186945349762,1.64607459706075
39,0.856258223180823,0.495620821673465,1.7276478019823
40,0.797136034740629,0.490413398516717,1.62543690109531
41,0.854982148941208,0.495848051475511,1.72428256276698
42,0.791023404160098,0.489400430480456,1.61631121448653
43,0.795478152844909,0.491171411915924,1.61955303901334
44,0.772652437791984,0.485439081656207,1.59165684632533
45,0.8594319205516,0.495848051475511,1.73325662568232
46,0.83331683451811,0.49472377860083,1.68440829117792
47,0.829294706327345,0.494058332955525,1.67853601692414
48,0.817810228014252,0.494314150510084,1.65443418354573
49,0.797951892371036,0.491171411915924,1.62458944680523
50,0.842030552523835,0.496213315754779,1.69691244831477
51,0.809316448094058,0.493664052369324,1.63940729370464
52,0.820552401122603,0.493664052369324,1.6621676161843
53,0.807818965865715,0.492815707862242,1.63919078263538
54,0.805411458604023,0.491356037940955,1.6391606013007
55,0.84503824840185,0.495894629084661,1.7040681605317
56,0.827080279957729,0.496032785499126,1.66739035026786
57,0.833302712956707,0.494058332955525,1.68664843273015
58,0.838865879093063,0.494356239511544,1.69688538759401
59,0.809265683619278,0.491417146409318,1.6467998512718
60,0.832749785923413,0.49403984488011,1.68559235566414
61,0.830481900388253,0.49439817215368,1.67978351693846
62,0.826021970280065,0.493853384577691,1.67260566815072
63,0.856358951371204,0.495426938768767,1.72852722441663
64,0.808622646085616,0.490796307076137,1.6475728004208
65,0.834423720469599,0.495722560033123,1.68324742052055
66,0.790997161732181,0.490413398516717,1.61291914969003
67,0.785638836435313,0.491417146409318,1.59872084679139
68,0.821349891579902,0.495368075049089,1.65805980027782
69,0.84438970023503,0.496213315754779,1.70166674981434
70,0.810615006150061,0.492815707862242,1.64486438483543
71,0.856760671656012,0.498067487457413,1.72016984290562
72,0.851892284415802,0.497886030226223,1.71101865225809
73,0.811913703761451,0.494356239511544,1.64236564418338
74,0.853549184611564,0.496032785499126,1.72075155022806
75,0.873821324832967,0.497471046429234,1.75652700012416
76,0.861392620792405,0.495659113683935,1.73787306035834
77,0.784917298996934,0.490413398516717,1.60052172589689
78,0.86733884962089,0.498067487457413,1.74140828595051
79,0.834144917681571,0.494058332955525,1.68835309930227
80,0.860948322159278,0.495848051475511,1.73631482386051
81,0.812352358101046,0.493610524705436,1.6457354886949
82,0.846732685988832,0.495722560033123,1.70807777223666
83,0.841805856923006,0.495894629084661,1.6975498574704
84,0.840126295218351,0.49472377860083,1.69817245816318
85,0.838847772984772,0.493928313327373,1.6983188660189
86,0.85702459735865,0.495659113683935,1.72906050488793
87,0.802356819782987,0.491356037940955,1.63294384891512
88,0.835199413217724,0.495894629084661,1.68422758431436
89,0.809042050925204,0.494356239511544,1.63655677072993
90,0.85930998764213,0.498378570581325,1.72421134929578
91,0.860474175516403,0.497977776494128,1.72793690026557
92,0.791879143351293,0.489400430480456,1.61805976053982
93,0.81732497733428,0.495620821673465,1.64909330196133
94,0.845256786722797,0.495269132353006,1.70666155329934
95,0.822780845590146,0.494862905360937,1.66264401044575
96,0.861995261854027,0.498067487457413,1.73067964394631
97,0.833491004452298,0.495269132353006,1.68290521255062
98,0.826490504459035,0.494356239511544,1.67185207427676
99,0.856824409969452,0.495595200249419,1.72887955641668
100,0.838174507273242,0.495848051475511,1.69038580423793
101,0.837943223094203,0.495722560033123,1.69034716321608
102,0.7956058658738,0.488364066792919,1.62912449947133
103,0.823655229862158,0.494653518140261,1.66511547913141
104,0.793216092372191,0.490984834960985,1.61556128802883
105,0.836010696198511,0.494862905360937,1.68937838569402
